,ID,phi,t,f,P,mw,w10m,v,r,rf
255,1002,126.5,-24,1.80E-05,975,65,0.55,0,589.8066677,2.76
256,1002,125.65,-21,1.80E-05,975,65,1,30.56326237,498.3439275,3.9
257,1002,124.8,-18,1.80E-05,975,65,1.32,30.56326237,406.9833768,4.41
258,1002,124.15,-15,1.80E-05,975,65,1.37,23.43977846,336.5835434,3.39
259,1002,123.5,-12,1.81E-05,975,65,1.5,23.43456943,266.219619,2.76
260,1002,122.9,-9,1.81E-05,975,65,1.53,21.63878089,201.2553598,26.91
261,1002,122.3,-6,1.82E-05,975,65,0.85,21.63394249,136.3306151,60.6
262,1002,121.6,-3,1.81E-05,977.5,62.5,0.14,25.42898061,65.79144792,49.89
263,1002,120.9,0,1.80E-05,980,60,1.45,25.44009545,41.15942471,31.62
264,1002,120.25,3,1.82E-05,982.5,57.5,2.39,24.49485337,87.01161744,35.25
265,1002,119.6,6,1.85E-05,985,55,1.81,24.47463588,155.5774278,41.91
266,1002,118.95,9,1.88E-05,987.5,52.5,1.13,25.80531368,228.5756236,42.24
267,1002,118.3,12,1.92E-05,990,50,2.36,25.7755628,303.4739146,29.79
268,1002,118,15,1.96E-05,991,47.5,3.94,16.8084752,344.8481078,15.9
269,1002,117.7,18,2.00E-05,992,45,4.2,16.79676302,388.1736915,6.66
270,1002,116.9,21,2.01E-05,992,45,3.83,28.58798668,469.9674234,11.49
271,1002,116.1,24,2.02E-05,992,45,2.67,28.58082886,552.8963596,14.88
272,1311,126.45,-24,1.80E-05,952.5,82.5,1.66,0,583.9590477,2.22
273,1311,125.9,-21,1.82E-05,950,85,1.36,20.52277952,523.6239625,1.32
274,1311,125.35,-18,1.86E-05,945,87.5,1.12,22.63794118,463.7959326,1.56
275,1311,124.8,-15,1.89E-05,940,90,1.34,22.61396535,406.8763756,2.46
276,1311,124.15,-12,1.92E-05,932.5,97.5,1.66,24.41237023,341.3974788,6.45
277,1311,123.5,-9,1.94E-05,925,105,1.17,24.39107837,280.1048653,11.34
278,1311,122.85,-6,1.98E-05,930,100,1.99,25.72471907,232.1700114,17.1
279,1311,122.2,-3,2.02E-05,935,95,2.64,25.69345963,203.51081,16.92
280,1311,121.5,0,2.05E-05,945,85,3.37,27.2772972,200.9169438,13.92
281,1311,120.8,3,2.09E-05,955,75,4.43,27.24195593,229.6878738,9.15
282,1311,120,6,2.12E-05,960,72.5,4.75,29.8637248,279.0462708,9.93
283,1311,119.2,9,2.15E-05,965,70,4.5,29.82758853,344.8613673,11.22
284,1311,118.6,12,2.19E-05,965,70,4.63,24.86471559,413.8997015,12.15
285,1311,118,15,2.24E-05,965,70,5.87,24.82945647,484.3204519,16.08
286,1311,117.25,18,2.24E-05,965,70,4.25,26.5398124,544.11494,16.47
287,1311,116.5,21,2.25E-05,965,70,4.34,26.5323361,608.4093831,11.46
288,1311,115.85,24,2.27E-05,962.5,70,3.77,23.58135659,673.2532879,9.33
289,2022,125.7,-24,1.82E-05,990,55,1.43,0,502.0796342,7.5
290,2022,125.15,-21,1.83E-05,982.5,60,1.43,19.8404372,442.5730084,12.21
291,2022,124.6,-18,1.83E-05,975,65,1.73,19.83597517,383.1325845,8.1
292,2022,124.05,-15,1.82E-05,972.5,67.5,2.24,20.10177415,324.3917151,6.84
293,2022,123.5,-12,1.81E-05,970,70,2.6,20.11050887,266.219619,14.85
294,2022,123.15,-9,1.83E-05,967.5,72.5,3.93,14.58364226,226.9525187,29.43
295,2022,122.8,-6,1.86E-05,965,75,5.77,14.57375127,189.8191639,5.7
296,2022,122.05,-3,1.88E-05,967.5,72.5,7.45,27.45439745,113.4444022,21.96
297,2022,121.3,0,1.89E-05,970,70,10.49,27.43590458,57.65371119,92.76
298,2022,120.45,3,1.90E-05,977.5,62.5,11.08,30.50045818,85.01530234,71.49
299,2022,119.6,6,1.91E-05,985,55,11.91,30.49326662,166.9288135,87.84
